Line,Direction,Station from (A),Station to (B),Distance (Kms),Un-impeded Running Time (Mins),AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins)
Northern,Southbound,FINCHLEY CENTRAL,EAST FINCHLEY,2.42,3.37,3.5,3.5
Northern,Southbound,EAST FINCHLEY,HIGHGATE,1.63,3,3,3
Northern,Southbound,HIGHGATE,ARCHWAY,1.7,2.8,3,3
Northern,Southbound,ARCHWAY,TUFNELL PARK,0.88,1.6,1.5,1.5
Northern,Southbound,TUFNELL PARK,KENTISH TOWN,0.8,1.42,1.5,1.5
Northern,Southbound,KENTISH TOWN,CAMDEN TOWN,1.15,1.93,3.08,3.08
Northern,Southbound,CAMDEN TOWN,MORNINGTON CRESCENT,0.64,1.63,1.5,1.5
Northern,Southbound,MORNINGTON CRESCENT,EUSTON (CX),0.82,1.52,2,2
Northern,Southbound,EUSTON (CX),WARREN STREET,0.58,1.18,1.5,1.5
Northern,Southbound,WARREN STREET,GOODGE STREET,0.46,1.07,1.5,1.5
Northern,Southbound,GOODGE STREET,TOTTENHAM COURT ROAD,0.62,1.32,1.73,1.5
Northern,Southbound,TOTTENHAM COURT ROAD,LEICESTER SQUARE,0.4,0.98,1,1
Northern,Southbound,LEICESTER SQUARE,CHARING CROSS,0.46,1.2,1.99,1.5
Northern,Southbound,CHARING CROSS,EMBANKMENT,0.27,0.8,1,1
Northern,Southbound,EMBANKMENT,WATERLOO,0.7,1.37,1.5,1.5
Northern,Southbound,WATERLOO,KENNINGTON (CX),1.89,2.97,3.96,3.4
Northern,Southbound,CAMDEN TOWN,EUSTON (CITY),1.71,2.95,3.5,3.55
Northern,Southbound,EUSTON (CITY),KINGS CROSS,0.61,1.53,1.5,1.5
Northern,Southbound,KINGS CROSS,ANGEL,1.38,2.18,2.5,2.5
Northern,Southbound,ANGEL,OLD STREET,1.44,2.87,3,3
Northern,Southbound,OLD STREET,MOORGATE,0.69,1.37,2,1.51
Northern,Southbound,MOORGATE,BANK,0.82,1.9,2,2
Northern,Southbound,BANK,LONDON BRIDGE,0.69,1.55,2.25,2
Northern,Southbound,LONDON BRIDGE,BOROUGH,0.67,1.45,1.5,1.5
Northern,Southbound,BOROUGH,ELEPHANT & CASTLE,0.85,1.72,2,2
Northern,Southbound,ELEPHANT & CASTLE,KENNINGTON (CITY),0.9,2.03,3,3.47
Northern,Southbound,KENNINGTON,OVAL,0.82,1.58,2,2
Northern,Southbound,OVAL,STOCKWELL,1.36,2.2,2.5,2.5
Northern,Southbound,STOCKWELL,CLAPHAM NORTH,0.82,1.55,1.5,1.5
Northern,Southbound,CLAPHAM NORTH,CLAPHAM COMMON,0.62,1.4,1.5,1.5
Northern,Southbound,CLAPHAM COMMON,CLAPHAM SOUTH,1.25,2,2.5,2.5
Northern,Southbound,CLAPHAM SOUTH,BALHAM,1.15,1.88,2,2
Northern,Southbound,BALHAM,TOOTING BEC,0.98,1.67,2,2
Northern,Southbound,TOOTING BEC,TOOTING BROADWAY,1.1,1.77,2,2
Northern,Southbound,TOOTING BROADWAY,COLLIERS WOOD,1.2,1.98,2,2
Northern,Southbound,COLLIERS WOOD,SOUTH WIMBLEDON,1.14,1.88,2,2
Northern,Southbound,SOUTH WIMBLEDON,MORDEN,1.46,2.95,3.55,3.56
Northern,Northbound,MORDEN,SOUTH WIMBLEDON,1.46,2.35,2.5,2.5
Northern,Northbound,SOUTH WIMBLEDON,COLLIERS WOOD,1.14,1.85,2,2
Northern,Northbound,COLLIERS WOOD,TOOTING BROADWAY,1.2,1.97,2,2
Northern,Northbound,TOOTING BROADWAY,TOOTING BEC,1.1,1.88,2,2
Northern,Northbound,TOOTING BEC,BALHAM,0.98,1.65,2,2
Northern,Northbound,BALHAM,CLAPHAM SOUTH,1.15,1.8,2,2
Northern,Northbound,CLAPHAM SOUTH,CLAPHAM COMMON,1.25,2.2,2.5,2.5
Northern,Northbound,CLAPHAM COMMON,CLAPHAM NORTH,0.62,1.32,1.76,1.5
Northern,Northbound,CLAPHAM NORTH,STOCKWELL,0.82,1.72,2.49,2
Northern,Northbound,STOCKWELL,OVAL,1.36,2.03,2.5,2.5
Northern,Northbound,OVAL,KENNINGTON (CITY),0.82,1.7,2.81,2.91
Northern,Northbound,KENNINGTON (CITY),ELEPHANT & CASTLE,0.9,1.8,2,2
Northern,Northbound,ELEPHANT & CASTLE,BOROUGH,0.85,1.75,2,2
Northern,Northbound,BOROUGH,LONDON BRIDGE,0.67,1.4,1.5,1.5
Northern,Northbound,LONDON BRIDGE,BANK,0.69,1.53,2.34,2
Northern,Northbound,BANK,MOORGATE,0.82,1.77,2.5,2.01
Northern,Northbound,MOORGATE,OLD STREET,0.69,1.45,1.5,1.5
Northern,Northbound,OLD STREET,ANGEL,1.44,2.43,2.5,2.5
Northern,Northbound,ANGEL,KINGS CROSS,1.38,2.15,2.5,2.5
Northern,Northbound,KINGS CROSS,EUSTON (CITY),0.61,1.33,1.68,1.52
Northern,Northbound,EUSTON (CITY),CAMDEN TOWN,1.71,3.88,4.42,4.02
Northern,Northbound,KENNINGTON (CX),WATERLOO,1.89,2.77,3,3
Northern,Northbound,WATERLOO,EMBANKMENT,0.7,1.4,2,2
Northern,Northbound,EMBANKMENT,CHARING CROSS,0.27,0.87,1.26,1
Northern,Northbound,CHARING CROSS,LEICESTER SQUARE,0.46,1.17,1.5,1.5
Northern,Northbound,LEICESTER SQUARE,TOTTENHAM COURT ROAD,0.4,1.03,1.5,1.5
Northern,Northbound,TOTTENHAM COURT ROAD,GOODGE STREET,0.62,1.28,1.5,1.5
Northern,Northbound,GOODGE STREET,WARREN STREET,0.46,1.07,1.5,1.5
Northern,Northbound,WARREN STREET,EUSTON (CX),0.58,1.18,1.5,1.5
Northern,Northbound,EUSTON (CX),MORNINGTON CRESCENT,0.82,1.53,1.51,1.5
Northern,Northbound,MORNINGTON CRESCENT,CAMDEN TOWN,0.64,1.8,2.99,2.04
Northern,Northbound,CAMDEN TOWN,KENTISH TOWN,1.15,1.95,2,2
Northern,Northbound,KENTISH TOWN,TUFNELL PARK,0.8,1.58,1.5,1.5
Northern,Northbound,TUFNELL PARK,ARCHWAY,0.88,1.68,2,2
Northern,Northbound,ARCHWAY,HIGHGATE,1.7,2.75,3,3
Northern,Northbound,HIGHGATE,EAST FINCHLEY,1.63,2.62,3.02,3
Northern,Northbound,EAST FINCHLEY,FINCHLEY CENTRAL,2.42,3.1,4.28,4.26
Northern,Northbound,FINCHLEY CENTRAL,MILL HILL EAST,1.52,2.98,2.5,2.5
Northern,Northbound,FINCHLEY CENTRAL (HB),WEST FINCHLEY,1.14,2.1,2,2
Northern,Northbound,WEST FINCHLEY,WOODSIDE PARK,0.98,1.55,2,2
Northern,Northbound,WOODSIDE PARK,TOTTERIDGE & WHETSTONE,1.5,2.23,2.5,2.5
Northern,Northbound,TOTTERIDGE & WHETSTONE,HIGH BARNET,2.46,4.62,4.83,4.5
Northern,Northbound,CAMDEN TOWN,CHALK FARM,0.85,1.55,1.5,1.5
Northern,Northbound,CHALK FARM,BELSIZE PARK,1.1,1.9,2,2
Northern,Northbound,BELSIZE PARK,HAMPSTEAD,1.2,2.02,2.5,2.5
Northern,Northbound,HAMPSTEAD,GOLDERS GREEN,2.34,3.95,4.97,5.36
Northern,Northbound,GOLDERS GREEN,BRENT CROSS,1.55,2.22,2.5,2.5
Northern,Northbound,BRENT CROSS,HENDON CENTRAL,1.1,1.83,2,2
Northern,Northbound,HENDON CENTRAL,COLINDALE,2.1,2.67,3,3
Northern,Northbound,COLINDALE,BURNT OAK,1.31,2.07,2,2
Northern,Northbound,BURNT OAK,EDGWARE,1.47,3.37,3.94,3.6
Piccadilly,Eastbound,UXBRIDGE,HILLINGDON,2.03,3,3,3
Piccadilly,Eastbound,HILLINGDON,ICKENHAM,1.08,1.6,2,2
Piccadilly,Eastbound,ICKENHAM,RUISLIP,1.85,2.3,2.5,2.5
Piccadilly,Eastbound,RUISLIP,RUISLIP MANOR,0.72,1.3,1.5,1.5
Piccadilly,Eastbound,RUISLIP MANOR,EASTCOTE,1.14,1.67,2,2
Piccadilly,Eastbound,EASTCOTE,RAYNERS LANE,1.72,2.23,3.35,3.95
Piccadilly,Eastbound,RAYNERS LANE,SOUTH HARROW,1.89,2.58,3.74,4.46
Piccadilly,Eastbound,SOUTH HARROW,SUDBURY HILL,1.36,1.85,2,2
Piccadilly,Eastbound,SUDBURY HILL,SUDBURY TOWN,1.65,2.03,2.5,2.5
Piccadilly,Eastbound,SUDBURY TOWN,ALPERTON,1.57,1.95,2.5,2.5
Piccadilly,Eastbound,ALPERTON,PARK ROYAL,1.97,2.2,2.5,2.5
Piccadilly,Eastbound,PARK ROYAL,NORTH EALING,1.06,1.52,2.5,2.03
Piccadilly,Eastbound,NORTH EALING,EALING COMMON,0.94,1.65,2.5,2.5
Piccadilly,Eastbound,EALING COMMON,ACTON TOWN,1.03,1.83,3.04,3.45
Piccadilly,Eastbound,HEATHROW 123,HATTON CROSS,2.15,2.63,4.43,4.08
Piccadilly,Eastbound,HATTON CROSS,HOUNSLOW WEST,2.91,3.25,3.5,3.5
Piccadilly,Eastbound,HOUNSLOW WEST,HOUNSLOW CENTRAL,1.46,1.98,2.5,2.5
Piccadilly,Eastbound,HOUNSLOW CENTRAL,HOUNSLOW EAST,0.74,1.3,1.5,1.5
Piccadilly,Eastbound,HOUNSLOW EAST,OSTERLEY,0.96,1.53,2,2
Piccadilly,Eastbound,OSTERLEY,BOSTON MANOR,2.42,2.85,3,3
Piccadilly,Eastbound,BOSTON MANOR,NORTHFIELDS,0.99,1.98,4.46,3.38
Piccadilly,Eastbound,NORTHFIELDS,SOUTH EALING,0.38,0.98,1.5,1.5
Piccadilly,Eastbound,SOUTH EALING,ACTON TOWN,2.2,2.93,4.11,4.28
Piccadilly,Eastbound,ACTON TOWN,HAMMERSMITH,4.42,5.65,6,5.53
Piccadilly,Eastbound,HAMMERSMITH,BARONS COURT,0.68,1.38,2,2
Piccadilly,Eastbound,BARONS COURT,EARLS COURT,1.62,2.55,3,3
Piccadilly,Eastbound,EARLS COURT,GLOUCESTER ROAD,0.78,1.37,1.5,1.5
Piccadilly,Eastbound,GLOUCESTER ROAD,SOUTH KENSINGTON,0.7,1.28,1.5,1.5
Piccadilly,Eastbound,SOUTH KENSINGTON,KNIGHTSBRIDGE,1.22,2.48,3,3
Piccadilly,Eastbound,KNIGHTSBRIDGE,HYDE PARK CORNER,0.51,1.1,1.5,1.5
Piccadilly,Eastbound,HYDE PARK CORNER,GREEN PARK,1.06,1.73,2,2.02
Piccadilly,Eastbound,GREEN PARK,PICCADILLY CIRCUS,0.56,1.1,1.5,1.5
Piccadilly,Eastbound,PICCADILLY CIRCUS,LEICESTER SQUARE,0.49,1.17,1.5,1.5
Piccadilly,Eastbound,LEICESTER SQUARE,COVENT GARDEN,0.25,0.77,1,1.01
Piccadilly,Eastbound,COVENT GARDEN,HOLBORN,0.59,1.4,1.5,1.5
Piccadilly,Eastbound,HOLBORN,RUSSELL SQUARE,0.72,1.55,2,2
Piccadilly,Eastbound,RUSSELL SQUARE,KINGS CROSS,0.91,1.9,2.47,2.05
Piccadilly,Eastbound,KINGS CROSS,CALEDONIAN ROAD,1.96,2.88,3.5,3.5
Piccadilly,Eastbound,CALEDONIAN ROAD,HOLLOWAY ROAD,0.59,1.18,1.5,1.5
Piccadilly,Eastbound,HOLLOWAY ROAD,ARSENAL,0.74,1.28,1.5,1.5
Piccadilly,Eastbound,ARSENAL,FINSBURY PARK,0.69,1.38,1.5,1.5
Piccadilly,Eastbound,FINSBURY PARK,MANOR HOUSE,1.04,1.55,2,2
Piccadilly,Eastbound,MANOR HOUSE,TURNPIKE LANE,2.31,2.88,3,3
Piccadilly,Eastbound,TURNPIKE LANE,WOOD GREEN,0.98,1.57,2,2.02
Piccadilly,Eastbound,WOOD GREEN,BOUNDS GREEN,1.52,2.23,2.5,2.5
Piccadilly,Eastbound,BOUNDS GREEN,ARNOS GROVE,1.25,2.58,3.62,3.91
Piccadilly,Eastbound,ARNOS GROVE,SOUTHGATE,1.94,2.8,2.52,2.51
Piccadilly,Eastbound,SOUTHGATE,OAKWOOD,1.86,2.48,3.9,3.51
Piccadilly,Eastbound,OAKWOOD,COCKFOSTERS,1.27,2.83,3,3.09
Piccadilly,Westbound,COCKFOSTERS,OAKWOOD,1.27,2.27,2.6,2.45
Piccadilly,Westbound,OAKWOOD,SOUTHGATE,1.86,2.37,2.5,2.5
Piccadilly,Westbound,SOUTHGATE,ARNOS GROVE,1.94,3.28,4.31,4.35
Piccadilly,Westbound,ARNOS GROVE,BOUNDS GREEN,1.25,2.25,2,2
Piccadilly,Westbound,BOUNDS GREEN,WOOD GREEN,1.52,2.2,2.5,2.57
Piccadilly,Westbound,WOOD GREEN,TURNPIKE LANE,0.98,1.52,1.5,1.5
Piccadilly,Westbound,TURNPIKE LANE,MANOR HOUSE,2.31,2.87,3,3
Piccadilly,Westbound,MANOR HOUSE,FINSBURY PARK,1.04,1.67,2.49,2
Piccadilly,Westbound,FINSBURY PARK,ARSENAL,0.69,1.35,1.5,1.5
Piccadilly,Westbound,ARSENAL,HOLLOWAY ROAD,0.74,1.3,1.5,1.5
Piccadilly,Westbound,HOLLOWAY ROAD,CALEDONIAN ROAD,0.59,1.2,1.5,1.5
Piccadilly,Westbound,CALEDONIAN ROAD,KINGS CROSS,1.96,2.78,4,3.52
Piccadilly,Westbound,KINGS CROSS,RUSSELL SQUARE,0.91,1.67,2,2
Piccadilly,Westbound,RUSSELL SQUARE,HOLBORN,0.72,1.37,1.5,1.5
Piccadilly,Westbound,HOLBORN,COVENT GARDEN,0.59,1.53,2,2
Piccadilly,Westbound,COVENT GARDEN,LEICESTER SQUARE,0.25,0.77,1,1
Piccadilly,Westbound,LEICESTER SQUARE,PICCADILLY CIRCUS,0.49,1.07,1.5,1.5
Piccadilly,Westbound,PICCADILLY CIRCUS,GREEN PARK,0.56,1.18,1.5,1.5
Piccadilly,Westbound,GREEN PARK,HYDE PARK CORNER,1.06,1.73,2.48,2.02
Piccadilly,Westbound,HYDE PARK CORNER,KNIGHTSBRIDGE,0.51,1.12,1.5,1.5
Piccadilly,Westbound,KNIGHTSBRIDGE,SOUTH KENSINGTON,1.22,2.23,2.5,2.5
Piccadilly,Westbound,SOUTH KENSINGTON,GLOUCESTER ROAD,0.7,1.37,1.5,1.5
Piccadilly,Westbound,GLOUCESTER ROAD,EARLS COURT,0.78,1.37,1.5,1.5
Piccadilly,Westbound,EARLS COURT,BARONS COURT,1.62,2.68,3,3
Piccadilly,Westbound,BARONS COURT,HAMMERSMITH,0.68,1.32,2,2
Piccadilly,Westbound,HAMMERSMITH,ACTON TOWN,4.42,4.7,6.67,6.87
Piccadilly,Westbound,ACTON TOWN,SOUTH EALING,2.2,2.8,3.08,3.02
Piccadilly,Westbound,SOUTH EALING,NORTHFIELDS,0.38,0.95,2.87,1.98
Piccadilly,Westbound,NORTHFIELDS,BOSTON MANOR,0.99,1.55,2,2
Piccadilly,Westbound,BOSTON MANOR,OSTERLEY,2.42,2.85,3,3
Piccadilly,Westbound,OSTERLEY,HOUNSLOW EAST,0.96,1.52,2,2
Piccadilly,Westbound,HOUNSLOW EAST,HOUNSLOW CENTRAL,0.74,1.27,1.5,1.5
Piccadilly,Westbound,HOUNSLOW CENTRAL,HOUNSLOW WEST,1.46,1.85,2,2
Piccadilly,Westbound,HOUNSLOW WEST,HATTON CROSS,2.91,3.3,5.5,5.5
Piccadilly,Westbound,HATTON CROSS,HEATHROW TERMINAL FOUR,1.83,2.1,2.5,2.5
Piccadilly,Westbound,HEATHROW TERMINAL FOUR,HEATHROW 123,4.31,4.63,5,5
Piccadilly,Westbound,ACTON TOWN,EALING COMMON,1.03,1.72,2.02,2.01
Piccadilly,Westbound,EALING COMMON,NORTH EALING,0.94,1.88,2,2
Piccadilly,Westbound,NORTH EALING,PARK ROYAL,1.06,1.67,2,2
Piccadilly,Westbound,PARK ROYAL,ALPERTON,1.97,2.37,2.5,2.5
Piccadilly,Westbound,ALPERTON,SUDBURY TOWN,1.57,2.03,2.5,2.5
Piccadilly,Westbound,SUDBURY TOWN,SUDBURY HILL,1.65,2.25,2.5,2.5
Piccadilly,Westbound,SUDBURY HILL,SOUTH HARROW,1.36,2.05,3.91,2.75
Piccadilly,Westbound,SOUTH HARROW,RAYNERS LANE,1.89,2.4,3.43,3.06
Piccadilly,Westbound,RAYNERS LANE,EASTCOTE,1.72,2.2,2.5,2.5
Piccadilly,Westbound,EASTCOTE,RUISLIP MANOR,1.14,1.73,2,2
Piccadilly,Westbound,RUISLIP MANOR,RUISLIP,0.72,1.27,1.95,1.5
Piccadilly,Westbound,RUISLIP,ICKENHAM,1.85,2.23,2.5,2.5
Piccadilly,Westbound,ICKENHAM,HILLINGDON,1.08,1.58,2,2
Piccadilly,Westbound,HILLINGDON,UXBRIDGE,2.03,3.7,3.92,3.5
Metropolitan,Westbound,ALDGATE,LIVERPOOL STREET,0.61,1.75,2,2.38
Metropolitan,Westbound,LIVERPOOL STREET,MOORGATE,0.51,1.32,1.5,1.5
Metropolitan,Westbound,MOORGATE,BARBICAN,0.63,1.38,1.5,1.5
Metropolitan,Westbound,BARBICAN,FARRINGDON,0.51,1.2,1.95,1.5
Metropolitan,Westbound,FARRINGDON,KINGS CROSS ST PANCRAS,1.85,3.12,3.5,3.5
Metropolitan,Westbound,KINGS CROSS ST PANCRAS,EUSTON SQUARE,0.85,1.65,2,2
Metropolitan,Westbound,EUSTON SQUARE,GREAT PORTLAND STREET,0.61,1.3,1.5,1.5
Metropolitan,Westbound,GREAT PORTLAND STREET,BAKER STREET (MET),0.92,2.23,4.08,3.82
Metropolitan,Westbound,BAKER STREET (MET),FINCHLEY ROAD,3.38,5.55,5.55,5.51
Metropolitan,Westbound,FINCHLEY ROAD,WEMBLEY PARK,7.24,7.05,6.95,7
Metropolitan,Westbound,WEMBLEY PARK,PRESTON ROAD,1.46,2.12,2.5,2.5
Metropolitan,Westbound,PRESTON ROAD,NORTHWICK PARK,1.64,2.3,2.5,2.5
Metropolitan,Westbound,NORTHWICK PARK,HARROW-ON-THE-HILL,1.29,2.32,4.53,3.03
Metropolitan,Westbound,FINCHLEY ROAD,HARROW-ON-THE-HILL,11.63,11.02,11,11
Metropolitan,Westbound,HARROW-ON-THE-HILL,WEST HARROW,1.26,2.32,2,2
Metropolitan,Westbound,WEST HARROW,RAYNERS LANE,1.38,2.05,2.57,2.5
Metropolitan,Westbound,RAYNERS LANE,EASTCOTE,1.72,2.23,2.52,2.5
Metropolitan,Westbound,EASTCOTE,RUISLIP MANOR,1.14,1.82,2.02,2
Metropolitan,Westbound,RUISLIP MANOR,RUISLIP,0.72,1.35,1.52,1.5
Metropolitan,Westbound,RUISLIP,ICKENHAM,1.85,2.57,2.6,2.5
Metropolitan,Westbound,ICKENHAM,HILLINGDON,1.08,1.75,2,2
Metropolitan,Westbound,HILLINGDON,UXBRIDGE,2.03,4.08,4.02,3.54
Metropolitan,Westbound,HARROW-ON-THE-HILL,NORTH HARROW,2,3.18,3,3
Metropolitan,Westbound,NORTH HARROW,PINNER,1.48,2,2.5,2.5
Metropolitan,Westbound,PINNER,NORTHWOOD HILLS,2.08,2.6,2.5,2.5
Metropolitan,Westbound,NORTHWOOD HILLS,NORTHWOOD,1.61,2.23,2.5,2.5
Metropolitan,Westbound,NORTHWOOD,MOOR PARK,2.22,2.55,3,3
Metropolitan,Westbound,HARROW-ON-THE-HILL,MOOR PARK,9.39,9.03,9.5,9.5
Metropolitan,Westbound,MOOR PARK,CROXLEY,2.94,4.33,4.5,4.5
Metropolitan,Westbound,CROXLEY,WATFORD,1.9,3.6,3.6,3.5
Metropolitan,Westbound,MOOR PARK,RICKMANSWORTH,3.49,4.13,5,5
Metropolitan,Westbound,RICKMANSWORTH,CHORLEYWOOD,3.38,4.03,4,4
Metropolitan,Westbound,CHORLEYWOOD,CHALFONT & LATIMER,3.43,3.95,4.68,4.5
Metropolitan,Westbound,CHALFONT & LATIMER,CHESHAM,6.19,9.48,8.64,8.5
Metropolitan,Westbound,CHALFONT & LATIMER,AMERSHAM,3.27,4.07,4,4
Metropolitan,Eastbound,AMERSHAM,CHALFONT & LATIMER,3.27,3.65,4,4
Metropolitan,Eastbound,CHESHAM,CHALFONT & LATIMER,6.19,9.63,9,8.5
Metropolitan,Eastbound,CHALFONT & LATIMER,CHORLEYWOOD,3.43,3.68,4,4
Metropolitan,Eastbound,CHORLEYWOOD,RICKMANSWORTH,3.38,4.07,4.5,4.58
Metropolitan,Eastbound,RICKMANSWORTH,MOOR PARK,3.49,3.78,4.5,4.5
Metropolitan,Eastbound,WATFORD,CROXLEY,1.9,3.22,3,3
Metropolitan,Eastbound,CROXLEY,MOOR PARK,2.94,4.42,4,4
Metropolitan,Eastbound,MOOR PARK,NORTHWOOD,2.22,2.87,3,3
Metropolitan,Eastbound,NORTHWOOD,NORTHWOOD HILLS,1.61,2.2,2.5,2.5
Metropolitan,Eastbound,NORTHWOOD HILLS,PINNER,2.08,2.48,2.5,2.5
Metropolitan,Eastbound,PINNER,NORTH HARROW,1.48,2.08,2.85,2.5
Metropolitan,Eastbound,NORTH HARROW,HARROW-ON-THE-HILL,2,3.08,4.57,4.49
Metropolitan,Eastbound,MOOR PARK,HARROW-ON-THE-HILL,9.39,9.62,10,10
Metropolitan,Eastbound,UXBRIDGE,HILLINGDON,2.03,3,3,3
