Line,Direction,Station from (A),Station to (B),Distance (Kms),Un-impeded Running Time (Mins),AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins)
Metropolitan,Eastbound,HILLINGDON,ICKENHAM,1.08,1.73,2,2
Metropolitan,Eastbound,ICKENHAM,RUISLIP,1.85,2.45,2.5,2.5
Metropolitan,Eastbound,RUISLIP,RUISLIP MANOR,0.72,1.45,1.5,1.5
Metropolitan,Eastbound,RUISLIP MANOR,EASTCOTE,1.14,1.82,2,2
Metropolitan,Eastbound,EASTCOTE,RAYNERS LANE,1.72,2.33,3,3
Metropolitan,Eastbound,RAYNERS LANE,WEST HARROW,1.38,2.08,2,2
Metropolitan,Eastbound,WEST HARROW,HARROW-ON-THE-HILL,1.26,2.15,3.85,4
Metropolitan,Eastbound,HARROW-ON-THE-HILL,FINCHLEY ROAD,11.63,10.15,11.5,11.5
Metropolitan,Eastbound,HARROW-ON-THE-HILL,NORTHWICK PARK,1.29,1.9,2,2
Metropolitan,Eastbound,NORTHWICK PARK,PRESTON ROAD,1.64,2.05,2.35,2
Metropolitan,Eastbound,PRESTON ROAD,WEMBLEY PARK,1.46,1.98,2.55,2.53
Metropolitan,Eastbound,WEMBLEY PARK,FINCHLEY ROAD,7.24,7,7.32,7.52
Metropolitan,Eastbound,FINCHLEY ROAD,BAKER STREET (METROPOLITAN),3.38,6.13,7.11,6.4
Metropolitan,Eastbound,BAKER STREET (METROPOLITAN),GREAT PORTLAND STREET,0.92,1.98,2,2
Metropolitan,Eastbound,GREAT PORTLAND STREET,EUSTON SQUARE,0.61,1.25,1.5,1.5
Metropolitan,Eastbound,EUSTON SQUARE,KINGS CROSS ST PANCRAS,0.85,1.75,2,2
Metropolitan,Eastbound,KINGS CROSS ST PANCRAS,FARRINGDON,1.85,2.98,3.5,3.5
Metropolitan,Eastbound,FARRINGDON,BARBICAN,0.51,1.22,1.5,1.5
Metropolitan,Eastbound,BARBICAN,MOORGATE,0.63,1.32,1.5,1.5
Metropolitan,Eastbound,MOORGATE,LIVERPOOL STREET,0.51,1.18,1.99,1.53
Metropolitan,Eastbound,LIVERPOOL STREET,ALDGATE,0.61,2.18,2.01,2.2
H & C,Eastbound,HAMMERSMITH (H&C),GOLDHAWK ROAD,0.82,2.05,2,2
H & C,Eastbound,GOLDHAWK ROAD,SHEPHERDS BUSH,0.51,1.15,1.5,1.5
H & C,Eastbound,SHEPHERDS BUSH,LATIMER ROAD,1.01,1.63,2,2
H & C,Eastbound,LATIMER ROAD,LADBROKE GROVE,0.66,1.37,1.5,1.5
H & C,Eastbound,LADBROKE GROVE,WESTBOURNE PARK,0.79,1.48,1.5,1.5
H & C,Eastbound,WESTBOURNE PARK,ROYAL OAK,0.98,1.78,2,2
H & C,Eastbound,ROYAL OAK,PADDINGTON (H&C),0.64,1.52,2,2
H & C,Eastbound,PADDINGTON (H&C),EDGWARE ROAD,0.93,2.33,3.71,3.72
H & C,Eastbound,EDGWARE ROAD,BAKER STREET,0.72,1.47,2.84,2.5
H & C,Eastbound,BAKER STREET,GREAT PORTLAND STREET,0.92,1.9,2,2
H & C,Eastbound,GREAT PORTLAND STREET,EUSTON SQUARE,0.61,1.25,1.5,1.5
H & C,Eastbound,EUSTON SQUARE,KINGS CROSS ST PANCRAS,0.85,1.75,2,2
H & C,Eastbound,KINGS CROSS ST PANCRAS,FARRINGDON,1.85,2.98,3.5,3.5
H & C,Eastbound,FARRINGDON,BARBICAN,0.51,1.22,1.5,1.5
H & C,Eastbound,BARBICAN,MOORGATE,0.64,1.32,1.53,1.5
H & C,Eastbound,MOORGATE,LIVERPOOL STREET,0.51,1.18,1.95,1.51
H & C,Eastbound,LIVERPOOL STREET,ALDGATE EAST,0.92,1.93,3.14,2.78
H & C,Eastbound,ALDGATE EAST,WHITECHAPEL,0.82,2.17,2.5,2.01
H & C,Eastbound,WHITECHAPEL,STEPNEY GREEN,1,2.05,2,2
H & C,Eastbound,STEPNEY GREEN,MILE END,1.05,1.73,2,2
H & C,Eastbound,MILE END,BOW ROAD,0.55,1.27,1.5,1.5
H & C,Eastbound,BOW ROAD,BROMLEY BY BOW,1.01,2.12,2,2
H & C,Eastbound,BROMLEY BY BOW,WEST HAM,1.37,2,2,2
H & C,Eastbound,WEST HAM,PLAISTOW,0.76,1.43,2.26,2.04
H & C,Eastbound,PLAISTOW,UPTON PARK,1.29,1.97,2,2
H & C,Eastbound,UPTON PARK,EAST HAM,1.4,2.02,2,2
H & C,Eastbound,EAST HAM,BARKING,2.29,3.78,3.6,3.49
H & C,Westbound,BARKING,EAST HAM,2.29,2.87,3,3
H & C,Westbound,EAST HAM,UPTON PARK,1.4,2,2.5,2.5
H & C,Westbound,UPTON PARK,PLAISTOW,1.29,1.93,2,2
H & C,Westbound,PLAISTOW,WEST HAM,0.76,1.5,1.5,1.5
H & C,Westbound,WEST HAM,BROMLEY BY BOW,1.37,2.12,2,2
H & C,Westbound,BROMLEY BY BOW,BOW ROAD,1.01,2.23,2.5,2.5
H & C,Westbound,BOW ROAD,MILE END,0.55,1.27,1.5,1.5
H & C,Westbound,MILE END,STEPNEY GREEN,1.05,1.72,2,2
H & C,Westbound,STEPNEY GREEN,WHITECHAPEL,1,2.63,3.48,2.56
H & C,Westbound,WHITECHAPEL,ALDGATE EAST,0.82,2.18,2.45,2.06
H & C,Westbound,ALDGATE EAST,LIVERPOOL STREET,0.92,2.12,3.02,3.88
H & C,Westbound,LIVERPOOL STREET,MOORGATE,0.51,1.32,1.5,1.5
H & C,Westbound,MOORGATE,BARBICAN,0.64,1.38,1.5,1.5
H & C,Westbound,BARBICAN,FARRINGDON,0.51,1.2,1.92,1.51
H & C,Westbound,FARRINGDON,KINGS CROSS ST PANCRAS,1.85,3.12,3.5,3.5
H & C,Westbound,KINGS CROSS ST PANCRAS,EUSTON SQUARE,0.85,1.65,2,2
H & C,Westbound,EUSTON SQUARE,GREAT PORTLAND STREET,0.61,1.3,1.5,1.5
H & C,Westbound,GREAT PORTLAND STREET,BAKER STREET,0.92,1.57,2.9,2.07
H & C,Westbound,BAKER STREET,EDGWARE ROAD,0.72,1.88,3.6,3.08
H & C,Westbound,EDGWARE ROAD,PADDINGTON (H&C),0.93,2.08,2,2
H & C,Westbound,PADDINGTON (H&C),ROYAL OAK,0.64,1.33,1.5,1.5
H & C,Westbound,ROYAL OAK,WESTBOURNE PARK,0.98,1.72,2,2
H & C,Westbound,WESTBOURNE PARK,LADBROKE GROVE,0.79,1.48,1.5,1.5
H & C,Westbound,LADBROKE GROVE,LATIMER ROAD,0.66,1.28,1.5,1.5
H & C,Westbound,LATIMER ROAD,SHEPHERDS BUSH,1.01,1.7,2,2
H & C,Westbound,SHEPHERDS BUSH,GOLDHAWK ROAD,0.51,1.15,1,1
H & C,Westbound,GOLDHAWK ROAD,HAMMERSMITH (H&C),0.82,2.43,3.07,3.03
Circle,Inner,EDGWARE ROAD,PADDINGTON (CIRCLE),0.82,1.85,2,2
Circle,Inner,PADDINGTON (CIRCLE),BAYSWATER,0.98,1.65,2,2
Circle,Inner,BAYSWATER,NOTTING HILL GATE,0.79,1.47,2,2
Circle,Inner,NOTTING HILL GATE,HIGH STREET KENSINGTON,0.93,1.58,3.57,3.36
Circle,Inner,HIGH STREET KENSINGTON,GLOUCESTER ROAD,0.93,1.8,2.66,2.9
Circle,Inner,GLOUCESTER ROAD,SOUTH KENSINGTON,0.74,1.43,1.5,1.5
Circle,Inner,SOUTH KENSINGTON,SLOANE SQUARE,1.22,1.98,2,2
Circle,Inner,SLOANE SQUARE,VICTORIA,1.05,1.8,2,2
Circle,Inner,VICTORIA,ST JAMES PARK,0.72,1.42,1.5,1.5
Circle,Inner,ST JAMES PARK,WESTMINSTER,0.76,1.5,2,2
Circle,Inner,WESTMINSTER,EMBANKMENT,0.69,1.37,2,2
Circle,Inner,EMBANKMENT,TEMPLE,0.71,1.37,2,2
Circle,Inner,TEMPLE,BLACKFRIARS,0.76,1.4,2,2
Circle,Inner,BLACKFRIARS,MANSION HOUSE,0.61,1.52,1.95,1.52
Circle,Inner,MANSION HOUSE,CANNON STREET,0.31,0.98,1,1
Circle,Inner,CANNON STREET,MONUMENT,0.34,0.97,1.5,1.5
Circle,Inner,MONUMENT,TOWER HILL,0.68,1.8,2,2.07
Circle,Inner,TOWER HILL,ALDGATE,0.5,1.3,4.05,3.18
Circle,Inner,ALDGATE,LIVERPOOL STREET,0.61,1.75,2,2.42
Circle,Inner,LIVERPOOL STREET,MOORGATE,0.51,1.32,1.5,1.5
Circle,Inner,MOORGATE,BARBICAN,0.64,1.38,1.5,1.5
Circle,Inner,BARBICAN,FARRINGDON,0.51,1.2,1.92,1.51
Circle,Inner,FARRINGDON,KINGS CROSS ST PANCRAS,1.85,3.12,3.5,3.5
Circle,Inner,KINGS CROSS ST PANCRAS,EUSTON SQUARE,0.85,1.65,2,2
Circle,Inner,EUSTON SQUARE,GREAT PORTLAND STREET,0.61,1.3,1.5,1.5
Circle,Inner,GREAT PORTLAND STREET,BAKER STREET (CIRCLE),0.92,1.57,2.9,2.07
Circle,Inner,BAKER STREET,EDGWARE ROAD,0.72,1.88,3.6,3.08
Circle,Outer,EDGWARE ROAD,BAKER STREET,0.72,1.47,2.84,2.5
Circle,Outer,BAKER STREET,GREAT PORTLAND STREET,0.92,1.9,2,2
Circle,Outer,GREAT PORTLAND STREET,EUSTON SQUARE,0.61,1.25,1.5,1.5
Circle,Outer,EUSTON SQUARE,KINGS CROSS ST PANCRAS,0.85,1.75,2,2
Circle,Outer,KINGS CROSS ST PANCRAS,FARRINGDON,1.85,2.98,3.5,3.5
Circle,Outer,FARRINGDON,BARBICAN,0.51,1.22,1.5,1.5
Circle,Outer,BARBICAN,MOORGATE,0.64,1.32,1.53,1.5
Circle,Outer,MOORGATE,LIVERPOOL STREET,0.51,1.18,1.95,1.51
Circle,Outer,LIVERPOOL STREET,ALDGATE,0.61,2.18,2.55,2.51
Circle,Outer,ALDGATE,TOWER HILL,0.5,1.37,2.02,2.1
Circle,Outer,TOWER HILL,MONUMENT,0.68,1.48,1.5,1.5
Circle,Outer,MONUMENT,CANNON STREET,0.34,0.88,1,1
Circle,Outer,CANNON STREET,MANSION HOUSE,0.31,0.93,1.5,1.5
Circle,Outer,MANSION HOUSE,BLACKFRIARS,0.61,1.22,1.52,1.5
Circle,Outer,BLACKFRIARS,TEMPLE,0.76,1.37,1.5,1.5
Circle,Outer,TEMPLE,EMBANKMENT,0.71,1.43,2,2.01
Circle,Outer,EMBANKMENT,WESTMINSTER,0.69,1.4,1.5,1.5
Circle,Outer,WESTMINSTER,ST JAMES PARK,0.76,1.52,1.5,1.5
Circle,Outer,ST JAMES PARK,VICTORIA,0.72,1.33,2,2
Circle,Outer,VICTORIA,SLOANE SQUARE,1.05,1.75,2,2
Circle,Outer,SLOANE SQUARE,SOUTH KENSINGTON,1.22,2,2.98,2.5
Circle,Outer,SOUTH KENSINGTON,GLOUCESTER ROAD,0.74,1.48,2.02,2.54
Circle,Outer,GLOUCESTER ROAD,HIGH STREET KENSINGTON,0.93,2.23,3.98,2.92
Circle,Outer,HIGH STREET KENSINGTON,NOTTING HILL GATE,0.93,1.68,2,2
Circle,Outer,NOTTING HILL GATE,BAYSWATER,0.79,1.77,2,2
Circle,Outer,BAYSWATER,PADDINGTON (CIRCLE),0.98,1.63,2.45,2.01
Circle,Outer,PADDINGTON (CIRCLE),EDGWARE ROAD,0.82,2.15,3.71,3.72
District,Westbound,UPMINSTER,UPMINSTER BRIDGE,1.24,2.08,2,2.03
District,Westbound,UPMINSTER BRIDGE,HORNCHURCH,1.26,1.78,2,2
District,Westbound,HORNCHURCH,ELM PARK,1.5,1.98,2.5,2.5
District,Westbound,ELM PARK,DAGENHAM EAST,2.37,2.77,3.07,3.18
District,Westbound,DAGENHAM EAST,DAGENHAM HEATHWAY,1.35,1.83,2,2
District,Westbound,DAGENHAM HEATHWAY,BECONTREE,1.37,1.88,2.5,2.5
District,Westbound,BECONTREE,UPNEY,1.87,2.33,2.5,2.5
District,Westbound,UPNEY,BARKING,1.38,1.92,2.66,3.82
District,Westbound,BARKING,EAST HAM,2.29,2.87,3,3
District,Westbound,EAST HAM,UPTON PARK,1.4,2,2.5,2.5
District,Westbound,UPTON PARK,PLAISTOW,1.29,1.93,2,2.01
District,Westbound,PLAISTOW,WEST HAM,0.76,1.5,1.5,1.5
District,Westbound,WEST HAM,BROMLEY BY BOW,1.37,2.12,2,2
District,Westbound,BROMLEY BY BOW,BOW ROAD,1.01,2.23,2.5,2.5
District,Westbound,BOW ROAD,MILE END,0.55,1.27,1.5,1.5
District,Westbound,MILE END,STEPNEY GREEN,1.05,1.72,2,2
District,Westbound,STEPNEY GREEN,WHITECHAPEL,1,2.63,3.54,3.51
District,Westbound,WHITECHAPEL,ALDGATE EAST,0.82,2.18,2.46,2.05
District,Westbound,ALDGATE EAST,TOWER HILL,0.8,1.87,3.03,3.65
District,Westbound,TOWER HILL,MONUMENT,0.68,1.48,1.5,1.5
District,Westbound,MONUMENT,CANNON STREET,0.34,0.88,1,1
District,Westbound,CANNON STREET,MANSION HOUSE,0.31,0.93,1.5,1.5
District,Westbound,MANSION HOUSE,BLACKFRIARS,0.61,1.22,1.5,1.5
District,Westbound,BLACKFRIARS,TEMPLE,0.76,1.37,1.5,1.5
District,Westbound,TEMPLE,EMBANKMENT,0.71,1.43,2,2
District,Westbound,EMBANKMENT,WESTMINSTER,0.69,1.4,1.5,1.5
District,Westbound,WESTMINSTER,ST JAMES PARK,0.76,1.52,1.5,1.5
District,Westbound,ST JAMES PARK,VICTORIA,0.72,1.33,2,2
District,Westbound,VICTORIA,SLOANE SQUARE,1.05,1.75,2,2
District,Westbound,SLOANE SQUARE,SOUTH KENSINGTON,1.22,2,3,2.5
District,Westbound,SOUTH KENSINGTON,GLOUCESTER ROAD,0.74,1.48,2,2.01
District,Westbound,GLOUCESTER ROAD,EARLS COURT,0.93,1.82,3.04,3.59
District,Westbound,EDGWARE ROAD,PADDINGTON (CIRCLE),0.82,1.85,2,2
District,Westbound,PADDINGTON (CIRCLE),BAYSWATER,0.98,1.65,2,2
District,Westbound,BAYSWATER,NOTTING HILL GATE,0.79,1.47,2,2
District,Westbound,NOTTING HILL GATE,HIGH STREET KENSINGTON,0.93,1.58,3.28,3.36
District,Westbound,HIGH STREET KENSINGTON,EARLS COURT,1.26,2.72,4.11,3.82
District,Westbound,EARLS COURT,KENSINGTON (OLYMPIA),1.54,3.08,3,3
District,Westbound,EARLS COURT,WEST BROMPTON,0.6,1.42,1.5,1.5
District,Westbound,WEST BROMPTON,FULHAM BROADWAY,0.84,1.55,1.5,1.5
District,Westbound,FULHAM BROADWAY,PARSONS GREEN,0.79,1.5,2,2
District,Westbound,PARSONS GREEN,PUTNEY BRIDGE,0.95,2.32,2.5,2.5
District,Westbound,PUTNEY BRIDGE,EAST PUTNEY,1.11,2.18,2,2
District,Westbound,EAST PUTNEY,SOUTHFIELDS,1.53,2.35,2.5,2.5
District,Westbound,SOUTHFIELDS,WIMBLEDON PARK,1.45,2.05,2.5,2.51
District,Westbound,WIMBLEDON PARK,WIMBLEDON,1.5,3.5,3.02,3.08
District,Westbound,EARLS COURT,WEST KENSINGTON,0.9,1.62,2,2
District,Westbound,WEST KENSINGTON,BARONS COURT,0.64,1.32,1.5,1.5
District,Westbound,BARONS COURT,HAMMERSMITH (DISTRICT),0.68,1.33,1.5,1.5
District,Westbound,HAMMERSMITH (DISTRICT),RAVENSCOURT PARK,0.93,1.63,2,2
District,Westbound,RAVENSCOURT PARK,STAMFORD BROOK,0.77,1.37,1.5,1.5
District,Westbound,STAMFORD BROOK,TURNHAM GREEN,0.55,1.17,1.97,1.58
District,Westbound,TURNHAM GREEN,CHISWICK PARK,0.95,1.58,2,2
District,Westbound,CHISWICK PARK,ACTON TOWN,1.22,1.83,2.63,2.06
District,Westbound,ACTON TOWN,EALING COMMON,1.03,1.5,2,2
District,Westbound,EALING COMMON,EALING BROADWAY,1.5,3.5,3.5,3.54
District,Westbound,TURNHAM GREEN,GUNNERSBURY,1.59,2.28,3.15,3
District,Westbound,GUNNERSBURY,KEW GARDENS,1.71,2.43,2.5,2.5
District,Westbound,KEW GARDENS,RICHMOND,2.14,4.1,3.57,3.5
District,Eastbound,EALING BROADWAY,EALING COMMON,1.5,2.67,3,3
District,Eastbound,EALING COMMON,ACTON TOWN,1.03,1.9,3.26,2.96
District,Eastbound,ACTON TOWN,CHISWICK PARK,1.22,1.8,2,2
District,Eastbound,CHISWICK PARK,TURNHAM GREEN,0.95,1.48,2.07,2.09
District,Eastbound,TURNHAM GREEN,STAMFORD BROOK,0.55,1.15,1.5,1.5
District,Eastbound,STAMFORD BROOK,RAVENSCOURT PARK,0.77,1.4,1.5,1.5
District,Eastbound,RAVENSCOURT PARK,HAMMERSMITH (DISTRICT),0.93,1.85,2,2
District,Eastbound,HAMMERSMITH (DISTRICT),BARONS COURT,0.68,1.43,2,2
District,Eastbound,BARONS COURT,WEST KENSINGTON,0.64,1.28,1.5,1.5
District,Eastbound,WEST KENSINGTON,EARLS COURT,0.9,2.17,2.63,3.3
District,Eastbound,RICHMOND,KEW GARDENS,2.14,3.1,3.02,3
District,Eastbound,KEW GARDENS,GUNNERSBURY,1.71,2.42,3,3
District,Eastbound,GUNNERSBURY,TURNHAM GREEN,1.59,2.6,4.02,3.67
District,Eastbound,WIMBLEDON,WIMBLEDON PARK,1.5,2.82,3,3
District,Eastbound,WIMBLEDON PARK,SOUTHFIELDS,1.45,2.18,2,2
District,Eastbound,SOUTHFIELDS,EAST PUTNEY,1.53,2.37,2.5,2.5
District,Eastbound,EAST PUTNEY,PUTNEY BRIDGE,1.11,1.85,2,2
District,Eastbound,PUTNEY BRIDGE,PARSONS GREEN,0.95,1.92,2,2
District,Eastbound,PARSONS GREEN,FULHAM BROADWAY,0.79,1.48,2,2
District,Eastbound,FULHAM BROADWAY,WEST BROMPTON,0.84,1.57,1.5,1.5
District,Eastbound,WEST BROMPTON,EARLS COURT,0.6,1.42,3.44,3.24
District,Eastbound,KENSINGTON (OLYMPIA),EARLS COURT,1.54,2.73,3.65,3.94
District,Eastbound,EARLS COURT,HIGH STREET KENSINGTON,1.26,3.05,3.58,3.12
District,Eastbound,HIGH STREET KENSINGTON,NOTTING HILL GATE,0.93,1.68,2,2
District,Eastbound,NOTTING HILL GATE,BAYSWATER,0.79,1.77,2,2
District,Eastbound,BAYSWATER,PADDINGTON (Dis),0.98,1.63,2.45,2.01
District,Eastbound,PADDINGTON (Dis),EDGWARE ROAD,0.82,2.15,2.5,2.5
District,Eastbound,EARLS COURT,GLOUCESTER ROAD,0.93,1.92,2.53,2.65
District,Eastbound,GLOUCESTER ROAD,SOUTH KENSINGTON,0.74,1.43,1.5,1.5
District,Eastbound,SOUTH KENSINGTON,SLOANE SQUARE,1.22,1.98,2,2
District,Eastbound,SLOANE SQUARE,VICTORIA,1.05,1.8,2,2
District,Eastbound,VICTORIA,ST JAMES PARK,0.72,1.42,1.5,1.5
District,Eastbound,ST JAMES PARK,WESTMINSTER,0.76,1.5,2,2
District,Eastbound,WESTMINSTER,EMBANKMENT,0.69,1.37,2,2
District,Eastbound,EMBANKMENT,TEMPLE,0.71,1.37,2,2
District,Eastbound,TEMPLE,BLACKFRIARS,0.76,1.4,2,2
District,Eastbound,BLACKFRIARS,MANSION HOUSE,0.61,1.52,1.98,1.52
District,Eastbound,MANSION HOUSE,CANNON STREET,0.31,0.98,1,1
District,Eastbound,CANNON STREET,MONUMENT,0.34,0.97,1.5,1.5
District,Eastbound,MONUMENT,TOWER HILL,0.68,1.8,2.08,2.43
District,Eastbound,TOWER HILL,ALDGATE EAST,0.8,1.88,2.91,2.21
District,Eastbound,ALDGATE EAST,WHITECHAPEL,0.82,2.17,2.72,2.76
District,Eastbound,WHITECHAPEL,STEPNEY GREEN,1,2.05,2,2
District,Eastbound,STEPNEY GREEN,MILE END,1.05,1.73,2,2
District,Eastbound,MILE END,BOW ROAD,0.55,1.27,1.51,1.5
District,Eastbound,BOW ROAD,BROMLEY BY BOW,1.01,2.12,2,2
District,Eastbound,BROMLEY BY BOW,WEST HAM,1.37,2,2,2
District,Eastbound,WEST HAM,PLAISTOW,0.76,1.43,2.04,2
District,Eastbound,PLAISTOW,UPTON PARK,1.29,1.97,2,2
District,Eastbound,UPTON PARK,EAST HAM,1.4,2.02,2,2
District,Eastbound,EAST HAM,BARKING,2.29,3.78,3.9,4.06
District,Eastbound,BARKING,UPNEY,1.38,1.97,2.05,2.01
District,Eastbound,UPNEY,BECONTREE,1.87,2.33,2.5,2.51
District,Eastbound,BECONTREE,DAGENHAM HEATHWAY,1.37,1.88,2.5,2.51
District,Eastbound,DAGENHAM HEATHWAY,DAGENHAM EAST,1.35,1.85,2.22,2.3
District,Eastbound,DAGENHAM EAST,ELM PARK,2.37,2.85,3,3
District,Eastbound,ELM PARK,HORNCHURCH,1.5,2.05,2.5,2.5
District,Eastbound,HORNCHURCH,UPMINSTER BRIDGE,1.26,1.77,2,2
District,Eastbound,UPMINSTER BRIDGE,UPMINSTER,1.24,2.32,2.03,2.01
